(1, 33, 1),
(1, 45, 3),
(1, 73, 7),
(1, 22, 9),
(1, 77, 13),
(1, 79, 13),
(1, 36, 15),
(1, 75, 19),
(1, 230, 21),
(1, 74, 25),
(1, 38, 27),
(1, 388, 31),
(1, 235, 33),
(1, 402, 37),
(2, 33, 1),
(2, 45, 1),
(2, 73, 1),
(2, 45, 3),
(2, 73, 7),
(2, 22, 9),
(2, 77, 13),
(2, 79, 13),
(2, 36, 15),
(2, 75, 20),
(2, 230, 23),
(2, 74, 28),
(2, 38, 31),
(2, 388, 36),
(2, 235, 39),
(2, 76, 44),
(3, 33, 1),
(3, 45, 1),
(3, 73, 1),
(3, 22, 1),
(3, 45, 3),
(3, 73, 7),
(3, 22, 9),
(3, 77, 13),
(3, 79, 13),
(3, 36, 15),
(3, 75, 20),
(3, 230, 23),
(3, 74, 28),
(3, 38, 31),
(3, 80, 32),
(3, 388, 39),
(3, 235, 45),
(3, 572, 50),
(3, 76, 53),
(4, 10, 1),
(4, 45, 1),
(4, 52, 7),
(4, 108, 10),
(4, 82, 16),
(4, 184, 19),
(4, 424, 25),
(4, 481, 28),
(4, 163, 34),
(4, 53, 37),
(4, 83, 43),
(4, 517, 46),
(5, 10, 1),
(5, 45, 1),
(5, 52, 1),
(5, 52, 7),
(5, 108, 10),
(5, 82, 17),
(5, 184, 21),
(5, 424, 28),
(5, 481, 32),
(5, 163, 39),
(5, 53, 43),
(5, 83, 50),
(5, 517, 54),
(6, 394, 1),
(6, 257, 1),
(6, 337, 1),
(6, 421, 1),
(6, 403, 1),
(6, 10, 1),
(6, 45, 1),
(6, 52, 1),
(6, 108, 1),
(6, 52, 7),
(6, 108, 10),
(6, 82, 17),
(6, 184, 21),
(6, 424, 28),
(6, 481, 32),
(6, 17, 36),
(6, 163, 41),
(6, 53, 47),
(6, 83, 56),
(6, 517, 62),
(6, 257, 71),
(6, 394, 77),
(7, 33, 1),
(7, 39, 4),
(7, 55, 7),
(7, 110, 10),
(7, 145, 13),
(7, 44, 16),
(7, 229, 19),
(7, 182, 22),
(7, 352, 25),
(7, 401, 28),
(7, 130, 31),
(7, 334, 34),
(7, 240, 37),
(7, 56, 40),
(8, 33, 1),
(8, 39, 1),
(8, 55, 1),
(8, 39, 4),
(8, 55, 7),
(8, 110, 10),
(8, 145, 13),
(8, 44, 16),
(8, 229, 20),
(8, 182, 24),
(8, 352, 28),
(8, 401, 32),
(8, 130, 36),
(8, 334, 40),
(8, 240, 44),
(8, 56, 48),
(9, 430, 1),
(9, 33, 1),
(9, 39, 1),
(9, 55, 1),
(9, 110, 1),
(9, 39, 4),
(9, 55, 7),
(9, 110, 10),
(9, 145, 13),
(9, 44, 16),
(9, 229, 20),
(9, 182, 24),
(9, 352, 28),
(9, 401, 32),
(9, 130, 39),
(9, 334, 46),
(9, 240, 53),
(9, 56, 60),
