(1, 64, 0)
(1, 33, 2)
(2, 64, 0)
(2, 33, 2)
(3, 64, 0)
(3, 33, 2)
(4, 46, 0)
(5, 65, 0)
(5, 93, 2)
(6, 65, 0)
(6, 93, 2)
(7, 65, 0)
(7, 93, 2)
(8, 180, 0)
(9, 69, 0)
(10, 66, 0)
(10, 43, 2)
(11, 66, 0)
(11, 43, 2)
(12, 66, 0)
(12, 43, 2)
(13, 177, 0)
(14, 18, 0)
(14, 49, 2)
(15, 60, 0)
(16, 13, 0)
(16, 109, 2)
(17, 18, 0)
(17, 49, 2)
(18, 60, 0)
(19, 67, 0)
(19, 96, 2)
(20, 90, 0)
(21, 50, 0)
(21, 76, 1)
(21, 144, 2)
(22, 50, 0)
(22, 76, 1)
(22, 144, 2)
(23, 50, 0)
(23, 76, 1)
(23, 144, 2)
(24, 98, 0)
(25, 49, 0)
(25, 61, 1)
(25, 54, 2)
(26, 49, 0)
(26, 61, 1)
(26, 54, 2)
(27, 50, 0)
(27, 96, 2)
(28, 50, 0)
(28, 96, 2)
(29, 21, 0)
(29, 60, 1)
(29, 126, 2)
(30, 21, 0)
(30, 60, 1)
(30, 126, 2)
(31, 8, 0)
(31, 30, 2)
(32, 8, 0)
(32, 30, 2)
(33, 7, 0)
(33, 145, 2)
(34, 7, 0)
(34, 145, 2)
(35, 37, 0)
(35, 78, 1)
(35, 54, 2)
(36, 37, 0)
(36, 78, 1)
(36, 54, 2)
(37, 37, 0)
(37, 78, 1)
(37, 124, 2)
(38, 37, 0)
(38, 78, 1)
(38, 54, 2)
(39, 37, 0)
(39, 78, 1)
(39, 54, 2)
(40, 37, 0)
(40, 78, 1)
(40, 124, 2)
(41, 55, 0)
(41, 97, 1)
(41, 131, 2)
(42, 55, 0)
(42, 97, 1)
(42, 108, 2)
(43, 17, 0)
(43, 69, 2)
(44, 17, 0)
(44, 69, 2)
(45, 171, 0)
(45, 55, 1)
(45, 131, 2)
(46, 171, 0)
(46, 55, 1)
(46, 118, 2)
(47, 38, 0)
(47, 150, 2)
(48, 38, 0)
(48, 150, 2)
(49, 33, 0)
(49, 49, 2)
(50, 33, 0)
(50, 0, 2)
(51, 33, 0)
(51, 26, 2)
(52, 86, 0)
(52, 26, 1)
(52, 5, 2)
(53, 86, 0)
(53, 26, 1)
(53, 5, 2)
(54, 13, 0)
(54, 109, 1)
(54, 49, 2)
(55, 18, 0)
(55, 109, 1)
(55, 146, 2)
(56, 70, 0)
(56, 7, 1)
(56, 158, 2)
(57, 70, 0)
(57, 7, 1)
(57, 158, 2)
(58, 52, 0)
(58, 100, 1)
(58, 126, 2)
(59, 6, 0)
(59, 100, 1)
(59, 126, 2)
(60, 12, 0)
(60, 5, 1)
(60, 32, 2)
(61, 12, 0)
(61, 5, 1)
(61, 32, 2)
(62, 82, 0)
(62, 71, 1)
(62, 127, 2)
(63, 82, 0)
(63, 71, 1)
(63, 127, 2)
(64, 17, 0)
(64, 21, 1)
(64, 153, 2)
(65, 17, 0)
(65, 21, 1)
(65, 153, 2)
(66, 5, 0)
(66, 10, 1)
(66, 32, 2)
(67, 5, 0)
(67, 10, 1)
(67, 32, 2)
(68, 5, 0)
(68, 10, 1)
(68, 32, 2)
(69, 38, 0)
(69, 27, 1)
(69, 97, 2)
(70, 38, 0)
(70, 27, 1)
(70, 97, 2)
(71, 38, 0)
(71, 27, 1)
(71, 97, 2)
(72, 35, 0)
(73, 61, 0)
(73, 98, 1)
(73, 79, 2)
(74, 61, 0)
(74, 98, 1)
(74, 79, 2)
(75, 61, 0)
(75, 98, 1)
(75, 79, 2)
(76, 33, 0)
(76, 81, 2)
(77, 33, 0)
(77, 81, 2)
(78, 33, 0)
(78, 81, 2)
(79, 28, 0)
(79, 63, 1)
(79, 43, 2)
(80, 28, 0)
(80, 63, 1)
(80, 43, 2)
(81, 68, 0)
(81, 4, 1)
(81, 7, 2)
(82, 68, 0)
(82, 4, 1)
(82, 7, 2)
(83, 68, 0)
(83, 4, 1)
(83, 7, 2)
(84, 17, 0)
(84, 49, 1)
(84, 48, 2)
(85, 17, 0)
(85, 49, 1)
(85, 48, 2)
(86, 11, 0)
(86, 19, 1)
(86, 143, 2)
(87, 11, 0)
(87, 19, 1)
(87, 143, 2)
(88, 74, 0)
(89, 41, 0)
(89, 4, 1)
(89, 147, 2)
(90, 41, 0)
(90, 4, 1)
(90, 147, 2)
(91, 38, 0)
(91, 50, 1)
(91, 127, 2)
(92, 47, 0)
(92, 49, 1)
(92, 76, 2)
(93, 47, 0)
(93, 49, 1)
(93, 76, 2)
(94, 92, 0)
(94, 46, 1)
(94, 114, 2)
(95, 92, 0)
(95, 46, 1)
(95, 114, 2)
(96, 0, 0)
(96, 59, 1)
(96, 142, 2)
(97, 0, 0)
(97, 59, 1)
(97, 142, 2)
(98, 74, 0)
(98, 91, 1)
(98, 141, 2)
(99, 74, 0)
(99, 91, 1)
(99, 141, 2)
(100, 25, 0)
(101, 25, 0)
(102, 25, 0)
(103, 22, 0)
(104, 68, 0)
(104, 4, 1)
(104, 132, 2)
(105, 107, 0)
(105, 14, 1)
(105, 38, 2)
(106, 107, 0)
(106, 14, 1)
(106, 38, 2)
(107, 51, 0)
(107, 74, 1)
(107, 124, 2)
(108, 51, 0)
(108, 74, 1)
(108, 124, 2)
(109, 42, 0)
(109, 8, 1)
(109, 105, 2)
(110, 42, 0)
(110, 8, 1)
(110, 105, 2)
(111, 33, 0)
(111, 138, 2)
(112, 33, 0)
(112, 138, 2)
(113, 30, 0)
(113, 68, 1)
(113, 3, 2)
(114, 30, 0)
(114, 68, 1)
(114, 3, 2)
(115, 6, 0)
(115, 119, 1)
(115, 83, 2)
(116, 88, 0)
(116, 50, 1)
(116, 38, 2)
(117, 11, 0)
(117, 19, 1)
(117, 12, 2)
(118, 25, 0)
(119, 25, 0)
(120, 30, 0)
(120, 68, 1)
(120, 119, 2)
(121, 30, 0)
(121, 68, 1)
(121, 119, 2)
(122, 29, 0)
(122, 31, 1)
(122, 130, 2)
(123, 33, 0)
(123, 101, 1)
(123, 143, 2)
(124, 47, 0)
(124, 112, 1)
(124, 38, 2)
(125, 184, 0)
(126, 32, 0)
(126, 96, 1)
(126, 5, 2)
(127, 37, 0)
(127, 96, 1)
(127, 5, 2)
(128, 32, 0)
(128, 40, 1)
(128, 30, 2)
(129, 32, 0)
(129, 40, 1)
(129, 30, 2)
(130, 34, 0)
(130, 29, 1)
(130, 147, 2)
(131, 34, 0)
(131, 29, 1)
(131, 147, 2)
(132, 110, 0)
(132, 42, 1)
(132, 100, 2)
(133, 67, 0)
(133, 100, 1)
(133, 79, 2)
(134, 107, 0)
(134, 11, 1)
(134, 86, 2)
(135, 8, 0)
(135, 71, 2)
(136, 48, 0)
(136, 71, 2)
(137, 51, 0)
(137, 103, 1)
(137, 152, 2)
(138, 183, 0)
(139, 82, 0)
(139, 21, 1)
(139, 124, 2)
(140, 32, 0)
(140, 154, 2)
(141, 21, 0)
(141, 152, 2)
(142, 103, 0)
(143, 74, 0)
(143, 10, 1)
(143, 92, 2)
(144, 6, 0)
(144, 149, 2)
(145, 90, 0)
(145, 49, 1)
(145, 106, 2)
(146, 10, 0)
(146, 92, 2)
(147, 9, 0)
(147, 94, 2)
(148, 17, 0)
(148, 61, 2)
(149, 87, 0)
(149, 35, 1)
(149, 147, 2)
(150, 74, 0)
(150, 32, 1)
(150, 132, 2)
(151, 74, 0)
(151, 32, 1)
(151, 132, 2)
(152, 3, 0)
(152, 32, 1)
(152, 132, 2)
(153, 3, 0)
(153, 32, 1)
(153, 132, 2)
(154, 45, 0)
(154, 68, 1)
(154, 126, 2)
(155, 180, 0)
(156, 16, 0)
(156, 46, 1)
(156, 81, 2)
(157, 45, 0)
(157, 80, 2)
(158, 45, 0)
(158, 30, 2)
(159, 45, 0)
(159, 48, 2)
(160, 60, 0)
(160, 62, 2)
(161, 60, 0)
(161, 62, 2)
(162, 38, 0)
(162, 135, 2)
(163, 45, 0)
(163, 126, 2)
(164, 79, 0)
(165, 14, 0)
(166, 27, 0)
